自增ID,款号,款式名称商品名称,商品标签,产品分类,中类,退货率,销售数量,净销量,实发数量,实发金额,销售金额,销售成本,实发成本,销售毛利,退货数量,实退数量,退货金额,退货成本,实退成本,实退金额,退货毛利,净销售额,净销售成本,净销售毛利,优惠金额,运费收入,运费支出,基本金额,已付金额,实发退货率,基本售价,五类,延续内容,延续月份,年份,季节,商品状态,折扣,现货,货量,主仓,SKC库存,净销售金额,设计师(人员),元素类型,上新波次,销售顶峰,可售周期,小波段,超级直播,延续方向,延续结果,复盘结论,开售评级
64,SPU063,运动T恤秋冬款,新品,运动,运动T恤,0.1397,2055,1768,1631,5849.77,9003.75,3477.13,2807.55,5526.62,287,24,511.88,210.49,443.18,410.58,488.824,8593.17,3033.95,5559.22,845.15,12.89,0.6,7639.64,8764.91,0.0147,483.4,B类,无,10月,2025,冬季,下架,0.59,799,582,727,166,8593.17,马淑华,运动,特别款,12月,长期,A波,是,创新,待评估,一般,B
65,SPU064,童装套装春季款,爆款,童装,套装,0.0309,648,628,233,16360.62,32997.64,19276.34,10019.07,13721.3,20,10,4666.78,2211.1,1259.97,3126.65,1137.921,29870.99,18016.37,11854.62,1667.24,8.37,25.63,28048.52,27946.54,0.0429,163.24,未分组,延续款,4月,2023,夏季,在售,0.55,959,1799,969,280,29870.99,黄利,简约,第一波,12月,3个月,A波,是,改进,成功,优秀,C
66,SPU065,休闲裤秋冬款,爆款,男装,下装,0.0355,3630,3501,2157,42087.37,2399.99,1357.0,20491.39,1042.99,129,33,316.62,191.17,75.35,313.08,90.528,2086.91,1281.65,805.26,53.18,47.42,16.18,2487.19,2139.13,0.0153,387.01,E类,经典款,9月,2025,冬季,下架,0.65,355,986,1105,116,2086.91,程燕,简约,第四波,9月,1年,D波,是,改进,失败,好,A
67,SPU066,速干短裤秋冬款,清仓,运动,运动裤,0.1423,3843,3296,2817,46182.33,47400.92,23265.64,24883.11,24135.28,547,8,5761.46,2018.29,1634.67,534.61,878.523,46866.31,21630.97,25235.34,4237.39,21.86,7.5,51476.22,44044.85,0.0028,422.79,B类,改进款,2月,2024,冬季,停售,0.76,819,1863,1255,413,46866.31,田军,运动,第三波,9月,1年,D波,否,延续,一般,一般,C
68,SPU067,开衫秋冬款,热卖,女装,毛衣,0.0476,4030,3838,79,8455.32,48516.09,14984.31,4955.48,33531.78,192,82,5423.86,638.23,741.66,7089.49,1042.695,41426.6,14242.65,27183.95,2640.35,17.1,9.35,54327.59,48496.33,1.038,258.66,A类,改进款,2月,2023,春夏,预售,0.89,73,1112,962,92,41426.6,邓浩,复古,第三波,12月,3个月,A波,否,停用,待评估,一般,A
69,SPU068,休闲衬衫新款,限量,男装,衬衫,0.1418,1707,1465,1395,48099.48,46874.55,17036.3,24452.36,29838.25,242,99,2131.09,1693.29,1946.59,5247.76,1128.522,41626.79,15089.71,26537.08,4212.93,43.18,6.53,39617.03,43433.1,0.071,196.03,B类,改进款,10月,2023,夏季,停售,0.5,43,1190,1414,243,41626.79,李伟,运动,特别款,6月,1年,A波,否,改进,待评估,好,E
70,SPU069,休闲衬衫秋冬款,设计师款,童装,上装,0.1421,1260,1081,219,7165.55,12401.06,8589.85,4705.75,3811.21,179,137,1396.94,111.58,995.89,1493.07,239.678,10907.99,7593.96,3314.03,932.51,12.53,1.18,13426.01,11307.35,0.6256,294.23,D类,升级款,10月,2023,秋季,预售,0.66,479,563,1226,468,10907.99,李璐,商务,第二波,3月,6个月,D波,是,创新,失败,优秀,A
71,SPU070,连帽卫衣春季款,联名,运动,卫衣,0.1331,2982,2585,978,16714.01,4103.75,2818.72,8340.62,1285.03,397,317,357.87,270.11,103.11,511.6,70.887,3592.15,2715.61,876.54,277.75,5.52,15.7,3392.45,3968.48,0.3241,108.4,A类,升级款,2月,2024,秋冬,在售,0.52,657,1712,795,336,3592.15,李强,休闲,特别款,全年平销,1年,A波,是,改进,成功,好,B
72,SPU071,家居服热卖款,清仓,内衣,家居服,0.0926,497,451,380,46973.95,21381.71,9571.04,24032.26,11810.67,46,35,2411.9,1213.84,1199.35,2334.47,246.972,19047.24,8371.69,10675.55,629.29,25.97,3.04,19081.19,18753.18,0.0921,136.9,未分组,升级款,10月,2025,秋冬,下架,0.87,425,1528,216,392,19047.24,李秀芳,运动,特别款,9月,长期,D波,否,改进,一般,优秀,E
73,SPU072,休闲裤新款,联名,童装,下装,0.0992,3629,3269,2253,49581.69,16908.05,7586.44,21289.4,9321.61,360,161,738.9,655.37,533.19,1978.0,582.683,14930.05,7053.25,7876.8,1006.39,37.23,10.8,16586.14,16772.19,0.0715,50.09,A类,改进款,10月,2023,秋季,停售,1.0,309,13,615,113,14930.05,孙勇,复古,第三波,3月,1年,E波,否,延续,成功,优秀,C
74,SPU073,短裤秋冬款,联名,男装,下装,0.0535,4769,4514,2099,40742.64,5503.35,2531.1,17514.32,2972.25,255,119,426.81,198.33,285.5,762.23,403.82,4741.12,2245.6,2495.52,403.16,40.98,2.86,5816.5,4443.81,0.0567,413.75,D类,延续款,无,2023,春季,预售,0.94,444,853,246,445,4741.12,吕倩,复古,特别款,3月,长期,A波,是,延续,失败,一般,C
75,SPU074,运动长裤春季款,清仓,运动,运动裤,0.0709,3218,2990,2437,29187.49,5414.06,2559.63,9719.96,2854.43,228,192,487.27,43.27,78.64,650.18,188.069,4763.88,2480.99,2282.89,95.6,25.09,23.21,4613.59,4477.29,0.0788,301.68,D类,经典款,11月,2025,秋冬,下架,0.81,753,1073,504,124,4763.88,周英,简约,第三波,12月,1年,E波,否,延续,待评估,优秀,C
76,SPU075,短裤秋冬款,爆款,童装,下装,0.1379,4865,4194,2497,9293.51,18136.1,11400.96,2954.88,6735.14,671,24,2258.74,432.73,1108.69,2219.7,419.834,15916.4,10292.27,5624.13,1418.17,42.64,3.37,14904.52,17950.9,0.0096,467.03,C类,延续款,6月,2025,春夏,预售,0.73,23,679,428,378,15916.4,钟静,商务,第二波,6月,1年,E波,是,改进,成功,优秀,E
77,SPU076,跑步外套夏季款,联名,运动,运动外套,0.0732,492,456,404,35129.81,14292.79,6946.07,14351.38,7346.72,36,12,1847.94,711.38,134.22,2034.22,962.417,12258.57,6811.85,5446.72,167.47,43.37,19.48,12755.85,12522.49,0.0297,489.48,A类,改进款,8月,2025,秋季,在售,0.59,512,1979,937,287,12258.57,赵欣,运动,第一波,3月,6个月,E波,是,创新,待评估,优秀,B
78,SPU077,套头卫衣秋冬款,新品,女装,卫衣,0.0485,2476,2356,1129,40782.75,31663.83,20628.06,27636.62,11035.77,120,64,4524.01,857.75,2559.53,4263.73,638.42,27400.1,18068.53,9331.57,1436.15,6.86,21.9,31926.23,29624.65,0.0567,442.72,未分组,升级款,7月,2023,秋季,停售,0.71,319,1863,1239,168,27400.1,王秀云,休闲,特别款,6月,6个月,B波,否,改进,失败,一般,D
79,SPU078,连帽卫衣秋冬款,爆款,男装,卫衣,0.1279,555,484,121,10022.63,42136.6,15093.71,6860.27,27042.89,71,68,2210.85,1726.5,824.36,595.29,3381.383,41541.31,14269.35,27271.96,2836.48,36.92,4.56,36876.83,34817.86,0.562,61.79,E类,无,5月,2025,秋季,下架,0.62,237,472,1407,13,41541.31,黄凤英,时尚,第一波,12月,6个月,E波,是,创新,一般,优秀,D
80,SPU079,家居服夏季款,热卖,内衣,家居服,0.0086,1853,1837,1565,48471.94,46346.32,31519.17,29233.94,14827.15,16,13,892.59,4406.2,3277.6,1907.5,2194.238,44438.82,28241.57,16197.25,4080.4,24.5,9.75,45559.27,39364.56,0.0083,232.19,A类,无,12月,2024,冬季,预售,0.7,961,1520,1171,304,44438.82,吴建华,商务,特别款,3月,3个月,D波,是,延续,一般,优秀,A
81,SPU080,连帽卫衣夏季款,联名,运动,卫衣,0.0943,2385,2160,1247,38910.17,15009.81,5502.52,19719.2,9507.29,225,101,449.0,694.34,763.0,768.78,696.292,14241.03,4739.52,9501.51,1126.31,5.66,23.36,17638.58,14097.56,0.081,110.89,D类,改进款,8月,2023,秋冬,清仓,0.8,729,1834,413,451,14241.03,周丽娟,休闲,第一波,9月,1年,B波,否,延续,成功,优秀,C
82,SPU081,短袖T恤经典款,热卖,女装,T恤,0.0863,4508,4119,1399,45700.39,28709.09,16186.53,27770.42,12522.56,389,22,493.32,859.97,2130.71,890.34,1405.315,27818.75,14055.82,13762.93,2770.05,14.44,5.42,33285.8,28481.91,0.0157,51.59,C类,延续款,8月,2024,夏季,下架,0.9,622,1807,1010,121,27818.75,王洁,复古,特别款,12月,长期,D波,是,延续,成功,一般,E
83,SPU082,牛仔裤夏季款,新品,童装,下装,0.0115,1214,1200,714,2799.33,42837.64,24280.32,894.7,18557.32,14,10,2928.98,848.71,1257.28,5454.17,1931.681,37383.47,23023.04,14360.43,2784.36,34.58,17.85,47760.67,35790.16,0.014,254.9,E类,改进款,1月,2023,春季,预售,0.68,388,1679,138,388,37383.47,范芳,休闲,特别款,3月,1年,D波,否,延续,失败,需改进,E
84,SPU083,家居服新款,设计师款,内衣,家居服,0.0273,476,463,373,48988.15,26918.38,9019.48,34022.83,17898.9,13,9,1351.47,859.0,853.86,2997.91,972.061,23920.47,8165.62,15754.85,1542.03,49.75,10.62,22931.37,24563.74,0.0241,283.87,未分组,经典款,8月,2023,秋季,停售,0.85,198,3,242,12,23920.47,屈桂花,休闲,第一波,6月,长期,D波,否,创新,失败,一般,A
85,SPU084,套头卫衣秋冬款,限量,男装,卫衣,0.0703,555,516,518,27949.69,38584.6,13332.32,15271.64,25252.28,39,19,543.13,461.14,872.56,2186.19,1420.998,36398.41,12459.76,23938.65,1559.37,33.62,27.48,43172.38,35850.13,0.0367,266.67,未分组,经典款,9月,2024,夏季,清仓,0.96,57,1710,1067,153,36398.41,李兵,商务,第三波,全年平销,3个月,B波,是,创新,成功,一般,C
86,SPU085,套头卫衣热卖款,联名,女装,卫衣,0.0386,4376,4207,3191,10181.57,6725.39,4122.24,3183.28,2603.15,169,146,456.93,328.08,536.28,357.52,112.638,6367.87,3585.96,2781.91,340.79,47.54,6.48,6193.6,5531.27,0.0458,403.22,B类,延续款,8月,2025,春夏,清仓,0.95,157,389,696,472,6367.87,高楠,休闲,特别款,9月,1年,B波,否,改进,一般,好,D
87,SPU086,家居服秋冬款,新品,内衣,家居服,0.1194,360,317,44,17331.2,44570.11,15209.15,9203.28,29360.96,43,38,2393.42,2051.7,1739.59,5226.52,1612.599,39343.59,13469.56,25874.03,1218.06,13.83,9.57,43520.32,36704.83,0.8636,117.19,C类,延续款,1月,2025,秋季,下架,0.55,555,717,1125,163,39343.59,李琳,时尚,第二波,9月,6个月,B波,否,创新,失败,优秀,A
88,SPU087,针织衫热卖款,联名,男装,上装,0.0145,413,407,27,5219.86,20203.92,11756.08,3026.19,8447.84,6,3,1945.32,631.79,1153.58,2723.06,1051.265,17480.86,10602.5,6878.36,1498.34,33.54,16.0,24032.01,19216.93,0.1111,259.56,B类,延续款,无,2025,夏季,在售,0.73,700,1319,1454,392,17480.86,王勇,休闲,第四波,6月,6个月,B波,是,创新,待评估,一般,C
89,SPU088,童装套装春季款,限量,童装,套装,0.1121,535,475,359,24453.95,42442.55,17524.65,8343.02,24917.9,60,7,5282.29,2130.05,1585.19,2495.88,1385.978,39946.67,15939.46,24007.21,2905.22,39.62,15.98,40758.71,37463.55,0.0195,329.39,E类,升级款,8月,2024,春夏,预售,0.6,710,1210,882,401,39946.67,马云,休闲,特别款,9月,6个月,B波,否,停用,成功,优秀,C
90,SPU089,跑步外套夏季款,联名,运动,运动外套,0.082,2523,2316,2450,6328.49,40889.27,24882.65,2054.18,16006.62,207,17,1654.61,732.75,1970.74,2577.97,1461.525,38311.3,22911.91,15399.39,3187.28,40.49,22.71,43520.6,36415.77,0.0069,181.18,E类,无,8月,2023,秋冬,预售,0.65,813,1870,1391,155,38311.3,刘秀梅,休闲,第三波,3月,3个月,E波,是,改进,失败,好,C
91,SPU090,训练外套热卖款,爆款,运动,运动外套,0.08,4587,4220,2311,43418.3,12526.82,7276.69,20077.19,5250.13,367,56,888.48,287.94,396.85,816.72,179.961,11710.1,6879.84,4830.26,282.06,27.77,25.3,11826.76,11066.78,0.0242,179.81,未分组,升级款,3月,2023,春夏,在售,0.57,906,996,1347,223,11710.1,阎磊,复古,第一波,6月,长期,D波,是,改进,待评估,优秀,E
92,SPU091,家居服夏季款,限量,内衣,家居服,0.071,1522,1414,15,29318.99,42493.39,16772.14,15554.92,25721.25,108,77,624.0,256.63,1132.41,3409.76,1997.449,39083.63,15639.73,23443.9,1834.53,29.01,28.85,35355.57,40200.32,5.1333,286.88,C类,经典款,9月,2023,秋季,下架,0.54,483,1291,1359,491,39083.63,胡伟,运动,第一波,全年平销,1年,E波,否,创新,成功,优秀,D
93,SPU092,套头卫衣经典款,清仓,运动,卫衣,0.1411,2891,2483,1184,9207.9,35057.51,18897.91,2988.58,16159.6,408,150,2672.87,636.31,2265.92,1842.97,278.378,33214.54,16631.99,16582.55,3475.35,40.44,18.73,32068.03,28624.53,0.1267,277.52,C类,改进款,3月,2025,春季,预售,0.93,14,1518,228,309,33214.54,徐建军,复古,特别款,6月,长期,C波,否,创新,一般,优秀,B
94,SPU093,跑步外套春季款,热卖,运动,运动外套,0.1279,1188,1036,1015,37885.3,21234.45,9624.87,14560.94,11609.58,152,39,2395.47,561.23,1074.52,2176.39,1159.989,19058.06,8550.35,10507.71,1656.15,5.8,5.03,20374.41,18267.43,0.0384,385.77,E类,升级款,7月,2025,冬季,清仓,0.74,148,1086,890,6,19058.06,张浩,时尚,第四波,12月,1年,E波,否,延续,失败,优秀,E
95,SPU094,西装外套秋冬款,清仓,童装,外套,0.0398,805,773,472,38884.4,37705.45,22386.68,22206.39,15318.77,32,25,5620.0,1205.7,834.79,3484.79,175.874,34220.66,21551.89,12668.77,405.82,3.4,12.34,38086.49,35333.77,0.053,208.18,未分组,改进款,5月,2023,春夏,在售,0.81,58,1922,1216,336,34220.66,尹波,复古,特别款,3月,3个月,A波,否,停用,一般,好,B
96,SPU095,西装外套热卖款,设计师款,童装,外套,0.1306,620,539,283,38698.6,34918.85,19800.09,12755.01,15118.76,81,58,4148.18,1259.12,911.34,4114.03,855.293,30804.82,18888.75,11916.07,537.93,47.78,7.94,34088.83,31369.15,0.2049,467.86,E类,经典款,3月,2025,夏季,在售,0.57,787,883,447,314,30804.82,梁佳,运动,第一波,12月,1年,A波,否,延续,成功,需改进,D
97,SPU096,羊毛衫热卖款,设计师款,女装,毛衣,0.0,7,7,4,8428.77,17161.71,7834.87,4182.96,9326.84,0,0,1219.31,1004.17,854.51,180.52,1112.983,16981.19,6980.36,10000.83,1384.68,27.01,0.1,20279.34,16536.94,0.0,266.93,E类,无,6月,2024,冬季,预售,0.7,647,1963,1325,46,16981.19,汪想,时尚,特别款,9月,3个月,D波,是,改进,一般,好,D
98,SPU097,羽绒服经典款,限量,男装,外套,0.1041,874,783,86,44375.49,22461.2,8440.6,17545.8,14020.6,91,62,1447.12,1021.17,114.38,336.87,1403.141,22124.33,8326.22,13798.11,1234.73,48.25,24.35,26653.13,18042.71,0.7209,202.68,C类,延续款,7月,2023,秋冬,下架,0.73,694,1782,1098,76,22124.33,杨雪梅,运动,特别款,6月,3个月,A波,否,停用,成功,优秀,E
99,SPU098,休闲裤热卖款,新品,女装,下装,0.0028,1069,1066,102,45328.46,41216.22,13968.87,28426.39,27247.35,3,1,1025.72,1111.92,1773.34,3939.1,3321.03,37277.12,12195.53,25081.59,1230.37,40.22,12.79,46352.11,41069.43,0.0098,355.28,C类,延续款,11月,2025,秋季,停售,0.66,987,1624,436,391,37277.12,陈洁,简约,特别款,6月,1年,A波,否,创新,一般,优秀,B
100,SPU099,短裤夏季款,新品,童装,下装,0.0086,4767,4726,818,39761.56,31977.54,14404.36,12029.46,17573.18,41,8,1122.98,323.81,1917.91,1026.02,1779.211,30951.52,12486.45,18465.07,2872.3,20.81,24.22,35463.89,30010.02,0.0098,142.77,未分组,改进款,9月,2024,夏季,停售,0.97,625,1416,77,305,30951.52,张淑珍,复古,第四波,全年平销,3个月,C波,是,停用,成功,一般,B
101,SPU100,百褶裙秋冬款,联名,女装,半身裙,0.1174,4421,3902,3802,38746.23,33307.03,13674.89,24701.21,19632.14,519,224,4583.31,1089.23,1661.85,1236.38,635.421,32070.65,12013.04,20057.61,3098.91,2.7,10.93,29437.95,28320.18,0.0589,327.57,D类,延续款,2月,2025,春夏,下架,0.59,804,59,993,263,32070.65,梁桂芳,简约,第一波,6月,长期,E波,是,停用,一般,需改进,B
102,SPU101,连帽卫衣春季款,热卖,女装,卫衣,0.1087,1942,1731,769,44676.89,4602.96,2458.15,29985.11,2144.81,211,51,339.23,157.88,174.58,81.05,62.407,4521.91,2283.57,2238.34,344.23,31.6,29.27,4054.68,3799.48,0.0663,361.49,A类,改进款,3月,2023,夏季,清仓,0.71,778,703,450,453,4521.91,祝兰英,时尚,特别款,6月,6个月,E波,否,延续,待评估,优秀,B
103,SPU102,套头卫衣秋冬款,热卖,运动,卫衣,0.1102,118,105,111,13086.05,17037.5,9060.32,8708.79,7977.18,13,11,2312.93,620.52,841.23,2297.59,129.162,14739.91,8219.09,6520.82,1690.37,36.67,15.13,16531.13,14973.65,0.0991,414.37,未分组,延续款,8月,2024,秋冬,在售,0.78,12,1419,1498,208,14739.91,姚凯,复古,第二波,9月,1年,B波,否,延续,待评估,需改进,B
104,SPU103,家居服经典款,联名,内衣,家居服,0.0907,1135,1032,758,31713.74,35491.2,10666.72,13737.2,24824.48,103,23,517.46,742.68,681.42,3471.85,1185.878,32019.35,9985.3,22034.05,3376.94,27.12,23.83,39575.41,28967.63,0.0303,446.38,未分组,延续款,9月,2025,春季,在售,0.56,374,953,1267,20,32019.35,孙雪梅,时尚,第三波,6月,3个月,E波,否,改进,失败,一般,E
105,SPU104,羊毛衫热卖款,爆款,女装,毛衣,0.0888,1846,1682,1838,14100.53,34331.11,14105.22,7058.44,20225.89,164,90,4330.47,1069.5,822.78,647.89,1708.413,33683.22,13282.44,20400.78,2893.57,44.97,13.56,32520.43,32087.96,0.049,361.95,A类,升级款,8月,2023,春夏,清仓,0.95,295,1962,157,55,33683.22,王雪,复古,第三波,3月,6个月,D波,否,改进,成功,需改进,D
106,SPU105,速干短裤秋冬款,限量,运动,运动裤,0.1319,3441,2987,2640,2052.63,10263.97,3169.66,1145.1,7094.31,454,377,694.22,183.81,402.21,1255.06,712.603,9008.91,2767.45,6241.46,404.07,29.67,20.91,11667.7,9125.2,0.1428,186.84,B类,改进款,3月,2024,秋冬,清仓,0.69,295,1576,96,75,9008.91,黄利,时尚,第三波,12月,6个月,E波,否,创新,一般,一般,B
107,SPU106,牛仔裤春季款,清仓,男装,下装,0.1134,2593,2299,1805,13759.95,10040.33,5271.12,4942.27,4769.21,294,64,730.74,772.56,286.6,149.16,404.0,9891.17,4984.52,4906.65,210.19,1.25,27.93,11118.73,9935.49,0.0355,467.52,B类,延续款,12月,2025,秋季,预售,0.82,302,970,593,496,9891.17,陈洋,商务,第二波,全年平销,长期,C波,否,停用,成功,一般,E
108,SPU107,风衣经典款,设计师款,女装,外套,0.1263,1805,1577,189,16991.96,30799.41,11644.02,6986.6,19155.39,228,91,405.22,994.14,1390.06,2577.93,1386.163,28221.48,10253.96,17967.52,2169.52,4.37,15.35,27035.11,26596.88,0.4815,322.29,A类,改进款,7月,2023,冬季,清仓,0.68,381,24,582,176,28221.48,马淑华,时尚,第三波,12月,3个月,B波,是,停用,待评估,需改进,B
109,SPU108,家居服新款,限量,内衣,家居服,0.018,4898,4810,1702,15858.33,49430.74,25215.63,9553.78,24215.11,88,18,1106.4,1697.63,3546.36,2815.49,3342.108,46615.25,21669.27,24945.98,2338.38,27.79,21.31,54477.49,40898.27,0.0106,133.7,D类,改进款,9月,2024,春夏,预售,0.92,311,1011,1145,378,46615.25,陶畅,休闲,第二波,3月,3个月,B波,是,创新,待评估,好,C
110,SPU109,家居服热卖款,限量,内衣,家居服,0.007,2004,1990,1566,14583.63,49722.31,16243.78,6918.87,33478.53,14,1,2292.58,1722.29,1483.86,5687.2,4901.13,44035.11,14759.92,29275.19,4159.04,18.66,21.99,40126.8,42358.81,0.0006,311.74,B类,改进款,8月,2025,秋冬,预售,0.58,279,739,859,325,44035.11,莫健,时尚,第一波,9月,1年,E波,否,改进,一般,好,E
111,SPU110,长袖T恤秋冬款,设计师款,男装,T恤,0.056,2466,2328,392,27186.6,18229.84,6516.93,13429.08,11712.91,138,92,1050.84,896.15,321.93,531.82,285.075,17698.02,6195.0,11503.02,435.87,11.06,5.65,21125.15,16820.41,0.2347,424.14,E类,无,12月,2025,冬季,在售,0.71,938,156,238,419,17698.02,张春梅,复古,第一波,12月,1年,C波,是,改进,待评估,需改进,B
112,SPU111,POLO衫春季款,设计师款,童装,上装,0.0357,1821,1756,1409,12102.15,7141.86,2514.56,4171.48,4627.3,65,18,90.22,195.62,268.34,150.01,325.645,6991.85,2246.22,4745.63,197.63,1.64,19.79,7408.04,6383.51,0.0128,458.84,A类,延续款,5月,2025,春夏,在售,0.89,942,1232,420,300,6991.85,宋冬梅,复古,第二波,9月,3个月,A波,否,创新,失败,需改进,B
113,SPU112,运动长裤春季款,联名,运动,运动裤,0.003,4736,4722,1777,36074.77,48248.93,17789.83,12246.46,30459.1,14,8,1928.13,1433.64,188.68,5575.77,3322.657,42673.16,17601.15,25072.01,2073.82,29.47,13.19,57083.27,40344.29,0.0045,209.67,D类,经典款,4月,2025,秋冬,清仓,0.56,321,253,954,56,42673.16,曹宁,商务,第二波,12月,1年,C波,否,延续,失败,优秀,A
114,SPU113,家居服新款,设计师款,内衣,家居服,0.1374,2555,2204,925,28141.88,15238.88,9785.59,17475.39,5453.29,351,227,2155.87,601.24,193.22,555.15,64.294,14683.73,9592.37,5091.36,1077.0,33.6,11.89,15377.02,14252.98,0.2454,103.65,D类,经典款,12月,2025,春夏,停售,0.53,998,407,693,102,14683.73,李桂英,商务,第四波,3月,6个月,D波,是,创新,失败,优秀,C
115,SPU114,家居服新款,联名,内衣,家居服,0.0328,2284,2209,442,6987.31,24977.73,9799.48,2243.91,15178.25,75,58,488.36,1028.31,138.77,3545.25,2217.393,21432.48,9660.71,11771.77,1109.93,33.96,4.58,26196.31,20463.42,0.1312,84.43,E类,经典款,无,2024,秋冬,预售,0.83,502,1033,535,277,21432.48,杨博,时尚,特别款,全年平销,3个月,A波,是,延续,待评估,优秀,C
116,SPU115,家居服春季款,设计师款,内衣,家居服,0.0409,269,258,155,44350.31,9043.07,4270.79,15245.54,4772.28,11,8,945.03,437.38,275.34,486.01,505.634,8557.06,3995.45,4561.61,556.14,23.8,25.63,9067.25,7942.32,0.0516,272.61,D类,无,11月,2024,春季,预售,0.53,604,92,262,428,8557.06,李娜,时尚,第三波,全年平销,3个月,C波,是,延续,待评估,需改进,C
117,SPU116,家居服热卖款,热卖,内衣,家居服,0.063,2000,1874,1327,16292.88,5162.15,2969.25,5016.33,2192.9,126,30,287.31,221.29,77.28,679.61,286.988,4482.54,2891.97,1590.57,315.53,45.07,8.0,5566.78,4736.78,0.0226,493.59,D类,无,7月,2024,秋季,在售,0.9,102,1414,1382,105,4482.54,杨敏,时尚,第四波,全年平销,1年,B波,是,创新,待评估,一般,D
118,SPU117,短裤秋冬款,限量,女装,下装,0.0488,389,370,205,40425.55,31604.04,21591.14,17574.41,10012.9,19,18,613.68,2637.7,1963.65,3491.58,766.363,28112.46,19627.49,8484.97,912.61,39.78,19.55,29099.07,30365.96,0.0878,244.81,E类,改进款,4月,2024,夏季,预售,0.81,464,1375,1121,92,28112.46,郭鹏,简约,特别款,6月,长期,B波,是,创新,待评估,好,E
119,SPU118,西装外套夏季款,爆款,男装,外套,0.0391,1969,1892,1728,22334.05,16614.01,10501.48,9084.91,6112.53,77,38,833.79,341.11,404.29,316.0,648.904,16298.01,10097.19,6200.82,519.22,11.92,4.5,13475.32,15939.63,0.022,189.74,D类,无,7月,2024,冬季,在售,0.6,279,279,59,132,16298.01,潘桂珍,时尚,特别款,6月,3个月,D波,否,延续,成功,需改进,E
120,SPU119,针织衫秋冬款,限量,童装,上装,0.0677,739,689,143,12566.02,28977.7,14491.73,8543.26,14485.97,50,46,4068.98,655.8,1492.51,779.21,1938.789,28198.49,12999.22,15199.27,910.68,6.11,24.2,26998.94,26568.65,0.3217,225.48,未分组,升级款,7月,2023,秋冬,在售,0.59,993,562,900,209,28198.49,梁建,时尚,特别款,3月,长期,E波,是,延续,失败,优秀,D
121,SPU120,风衣秋冬款,新品,男装,外套,0.0966,3893,3517,86,32624.48,45356.24,14238.4,18800.61,31117.84,376,157,5462.36,620.15,1734.97,5148.97,2719.136,40207.27,12503.43,27703.84,1716.02,47.92,10.89,51021.24,37392.17,1.8256,440.13,D类,经典款,1月,2024,春季,预售,0.55,842,1549,482,152,40207.27,甘玲,复古,第二波,12月,1年,D波,否,创新,成功,优秀,D
122,SPU121,家居服春季款,联名,内衣,家居服,0.1356,1313,1135,1036,4251.99,21622.66,12793.97,1322.12,8828.69,178,66,373.94,1277.13,713.23,1874.29,867.171,19748.37,12080.74,7667.63,1755.58,6.8,12.02,22732.3,18654.83,0.0637,87.0,B类,升级款,9月,2025,冬季,停售,0.92,702,840,654,231,19748.37,董刚,休闲,第二波,9月,6个月,E波,是,创新,一般,好,D
123,SPU122,短裤经典款,热卖,童装,下装,0.049,4672,4443,188,46232.51,32708.23,18010.82,18710.91,14697.41,229,5,4227.75,305.64,2636.39,4479.66,1418.602,28228.57,15374.43,12854.14,2094.48,7.46,28.74,28392.35,29877.29,0.0266,56.35,E类,经典款,无,2024,冬季,清仓,0.56,730,416,390,484,28228.57,尹成,时尚,第三波,12月,长期,B波,是,改进,一般,需改进,B
124,SPU123,家居服夏季款,新品,内衣,家居服,0.0766,235,217,60,31266.33,45459.08,20359.08,15243.98,25100.0,18,8,6000.69,2980.89,1509.48,4809.45,1648.007,40649.63,18849.6,21800.03,1322.84,19.17,12.7,47226.46,37031.47,0.1333,300.65,A类,改进款,4月,2024,春季,下架,0.97,990,1643,1225,363,40649.63,束颖,运动,第一波,3月,1年,E波,是,创新,待评估,需改进,B
125,SPU124,训练外套秋冬款,新品,运动,运动外套,0.092,1391,1263,694,44016.94,7464.06,3186.61,18720.75,4277.45,128,126,1097.16,254.58,95.12,628.92,625.671,6835.14,3091.49,3743.65,263.41,18.03,12.9,8666.65,6364.18,0.1816,423.32,C类,无,6月,2024,秋冬,预售,0.87,503,1564,309,284,6835.14,耿静,运动,第四波,3月,6个月,B波,否,改进,一般,好,D
126,SPU125,休闲裤经典款,设计师款,童装,下装,0.033,3575,3457,2027,2998.79,18469.49,10779.01,1763.01,7690.48,118,114,567.52,635.36,851.74,1439.29,296.258,17030.2,9927.27,7102.93,656.97,41.75,22.5,20852.58,16856.17,0.0562,348.41,B类,无,1月,2025,秋季,停售,0.71,78,504,1020,346,17030.2,陈坤,简约,第三波,3月,1年,A波,是,创新,成功,需改进,B
127,SPU126,包臀裙热卖款,爆款,女装,半身裙,0.1181,3930,3466,3912,14196.6,33242.31,14353.06,6104.06,18889.25,464,321,3736.98,1619.09,1394.13,536.48,2720.739,32705.83,12958.93,19746.9,2035.24,10.57,1.46,35152.33,28742.44,0.0821,74.99,A类,无,10月,2024,春夏,清仓,0.63,245,1976,816,45,32705.83,冯婷婷,简约,第二波,6月,长期,D波,是,改进,成功,需改进,D
