自增ID,统计日期,店铺名称,商品ID,商品名称,SKU ID,SKU名称,加购件数,下单件数,下单买家数,下单金额,支付件数,支付买家数,支付金额,款号,颜色,分款号,波段,链接,上线前三天,记录日期,商品编码
194,2025-09-28,美特斯邦威男装官方旗舰店,360257,家居服经典款,254069,SPU046-黄色-M,338,196,144,6746,163,75,1394,SPU046,黄色,SUB890,C波,https://shop.example.com/product/84643,2025-09-28,2025-10-19 01:38:42,SPU046-黄色-M
195,2025-10-08,Stradivarius官方旗舰店,299623,家居服经典款,213618,SPU046-黄色-S,189,316,114,19295,99,99,9259,SPU046,黄色,SUB894,D波,https://shop.example.com/product/62980,2025-10-08,2025-10-24 23:02:34,SPU046-黄色-S
196,2025-10-03,ZARA官方旗舰店,527629,家居服经典款,752442,SPU046-黄色-均码,716,288,11,36563,286,242,10158,SPU046,黄色,SUB507,A波,https://shop.example.com/product/69923,2025-10-03,2025-10-13 08:48:16,SPU046-黄色-均码
197,2025-10-21,Stradivarius女装官方旗舰店,132002,A字连衣裙夏季款,773118,SPU047-灰色-S,905,391,89,49104,213,55,20283,SPU047,灰色,SUB675,B波,https://shop.example.com/product/78156,2025-10-16,2025-10-26 00:12:24,SPU047-灰色-S
198,2025-09-22,森马官方旗舰店,802699,A字连衣裙夏季款,794727,SPU047-灰色-XXXL,616,310,185,42610,112,31,34092,SPU047,灰色,SUB241,A波,https://shop.example.com/product/47316,2025-09-22,2025-10-06 09:25:41,SPU047-灰色-XXXL
199,2025-10-10,Stradivarius女装官方旗舰店,461426,A字连衣裙夏季款,527265,SPU047-灰色-M,241,423,72,45556,1,1,22370,SPU047,灰色,SUB130,B波,https://shop.example.com/product/63245,2025-10-10,2025-10-29 16:02:31,SPU047-灰色-M
200,2025-10-25,森马女装官方旗舰店,809418,A字连衣裙夏季款,253734,SPU047-灰色-L,444,302,136,6127,183,140,25063,SPU047,灰色,SUB686,D波,https://shop.example.com/product/55182,2025-10-16,2025-10-29 00:02:13,SPU047-灰色-L
201,2025-09-25,H&M官方旗舰店,969494,A字连衣裙夏季款,327155,SPU047-灰色-XXL,15,208,143,31583,161,109,6439,SPU047,灰色,SUB788,B波,https://shop.example.com/product/34941,2025-09-25,2025-10-05 14:57:09,SPU047-灰色-XXL
202,2025-10-03,森马官方旗舰店,699268,运动套装热卖款,453215,SPU048-绿色-均码,246,413,128,12585,270,136,26127,SPU048,绿色,SUB654,B波,https://shop.example.com/product/41536,2025-10-03,2025-10-09 14:48:31,SPU048-绿色-均码
203,2025-10-03,Mango女装官方旗舰店,633757,运动套装热卖款,385109,SPU048-绿色-S,641,300,20,1930,159,42,31353,SPU048,绿色,SUB870,B波,https://shop.example.com/product/10128,2025-10-03,2025-10-15 03:30:51,SPU048-绿色-S
204,2025-09-20,杰克琼斯男装官方旗舰店,509650,运动套装热卖款,508196,SPU048-绿色-M,1,3,0,7653,3,3,33023,SPU048,绿色,SUB306,A波,https://shop.example.com/product/20644,2025-09-20,2025-10-09 17:08:08,SPU048-绿色-M
205,2025-10-12,Massimo Dutti女装官方旗舰店,741613,运动套装热卖款,451106,SPU048-绿色-L,52,342,24,4339,98,48,34590,SPU048,绿色,SUB157,C波,https://shop.example.com/product/20499,2025-10-11,2025-10-20 01:02:57,SPU048-绿色-L
206,2025-09-11,Mango女装官方旗舰店,873566,风衣新款,437004,SPU049-灰色-XXXL,27,150,116,26724,18,5,34197,SPU049,灰色,SUB300,D波,https://shop.example.com/product/94157,2025-09-11,2025-10-08 06:52:44,SPU049-灰色-XXXL
207,2025-09-02,Pull&Bear官方旗舰店,152742,风衣新款,865435,SPU049-灰色-S,377,210,56,41779,160,71,17702,SPU049,灰色,SUB117,D波,https://shop.example.com/product/67756,2025-09-02,2025-10-01 20:45:26,SPU049-灰色-S
208,2025-09-11,欧时力官方旗舰店,509718,风衣新款,270196,SPU049-灰色-S,59,226,182,29427,153,35,26425,SPU049,灰色,SUB881,D波,https://shop.example.com/product/98000,2025-09-11,2025-10-10 01:15:13,SPU049-灰色-S
209,2025-09-27,GXG官方旗舰店,120407,休闲裤热卖款,682446,SPU050-黑色-L,23,66,62,47512,17,15,25196,SPU050,黑色,SUB148,B波,https://shop.example.com/product/84110,2025-09-27,2025-10-24 01:53:22,SPU050-黑色-L
210,2025-09-14,H&M官方旗舰店,906473,休闲裤热卖款,915519,SPU050-黑色-均码,539,358,11,26036,308,268,34965,SPU050,黑色,SUB369,A波,https://shop.example.com/product/35594,2025-09-14,2025-10-08 04:47:57,SPU050-黑色-均码
211,2025-10-01,播女装官方旗舰店,343388,休闲裤热卖款,193519,SPU050-黑色-XXL,67,101,40,23453,25,22,11222,SPU050,黑色,SUB307,C波,https://shop.example.com/product/62600,2025-10-01,2025-10-15 14:20:11,SPU050-黑色-XXL
212,2025-10-07,森马女装官方旗舰店,182995,休闲裤热卖款,586806,SPU050-黑色-XXL,2,55,13,10765,29,21,6662,SPU050,黑色,SUB180,B波,https://shop.example.com/product/10060,2025-10-07,2025-10-30 18:32:17,SPU050-黑色-XXL
213,2025-09-25,太平鸟官方旗舰店,886786,短袖T恤夏季款,542393,SPU051-橙色-XS,243,194,131,43885,28,10,8674,SPU051,橙色,SUB578,D波,https://shop.example.com/product/81580,2025-09-25,2025-10-14 15:36:48,SPU051-橙色-XS
214,2025-09-20,太平鸟女装官方旗舰店,227154,短袖T恤夏季款,299635,SPU051-橙色-L,223,293,229,4871,176,170,35729,SPU051,橙色,SUB403,C波,https://shop.example.com/product/44681,2025-09-20,2025-10-09 17:34:39,SPU051-橙色-L
215,2025-09-22,H&M男装官方旗舰店,276888,短袖T恤夏季款,706922,SPU051-橙色-均码,330,303,24,9230,25,12,19268,SPU051,橙色,SUB622,A波,https://shop.example.com/product/22388,2025-09-22,2025-10-10 05:27:58,SPU051-橙色-均码
216,2025-10-18,欧时力官方旗舰店,155469,休闲衬衫热卖款,347996,SPU052-棕色-L,462,220,52,44698,70,32,6659,SPU052,棕色,SUB507,D波,https://shop.example.com/product/80016,2025-10-13,2025-10-28 01:29:54,SPU052-棕色-L
217,2025-10-03,Stradivarius女装官方旗舰店,585705,休闲衬衫热卖款,876907,SPU052-棕色-L,127,55,42,33645,9,2,12232,SPU052,棕色,SUB176,A波,https://shop.example.com/product/31165,2025-10-03,2025-10-18 21:45:02,SPU052-棕色-L
218,2025-10-14,Bershka女装官方旗舰店,615454,休闲衬衫热卖款,960498,SPU052-棕色-XXXL,603,327,274,11953,47,6,12673,SPU052,棕色,SUB367,D波,https://shop.example.com/product/32494,2025-10-13,2025-10-29 20:55:27,SPU052-棕色-XXXL
219,2025-09-17,美特斯邦威官方旗舰店,870229,休闲衬衫热卖款,970053,SPU052-棕色-M,503,293,224,15326,279,218,15180,SPU052,棕色,SUB995,B波,https://shop.example.com/product/25071,2025-09-17,2025-10-04 05:15:09,SPU052-棕色-M
220,2025-10-20,Stradivarius官方旗舰店,669913,休闲衬衫热卖款,814637,SPU052-棕色-均码,652,434,209,1910,263,173,15001,SPU052,棕色,SUB686,D波,https://shop.example.com/product/13003,2025-10-12,2025-10-30 14:18:14,SPU052-棕色-均码
221,2025-10-18,ZARA童装官方旗舰店,717203,风衣新款,671052,SPU053-绿色-XL,736,252,162,28094,201,103,7798,SPU053,绿色,SUB564,D波,https://shop.example.com/product/18007,2025-10-12,2025-10-24 18:39:00,SPU053-绿色-XL
222,2025-10-20,江南布衣官方旗舰店,524762,风衣新款,643453,SPU053-绿色-XXXL,150,206,202,1013,127,93,147,SPU053,绿色,SUB485,B波,https://shop.example.com/product/21056,2025-10-11,2025-10-28 21:51:45,SPU053-绿色-XXXL
223,2025-10-05,Stradivarius官方旗舰店,334784,风衣新款,759737,SPU053-绿色-M,357,337,167,44163,87,20,5648,SPU053,绿色,SUB502,C波,https://shop.example.com/product/11944,2025-10-05,2025-10-15 09:57:06,SPU053-绿色-M
224,2025-10-04,森马女装官方旗舰店,569009,风衣新款,209996,SPU053-绿色-XXXL,542,397,207,37318,171,38,4775,SPU053,绿色,SUB635,B波,https://shop.example.com/product/19535,2025-10-04,2025-10-11 18:05:17,SPU053-绿色-XXXL
225,2025-09-26,森马官方旗舰店,695451,风衣新款,517260,SPU053-绿色-XXXL,467,292,20,36538,71,68,17597,SPU053,绿色,SUB340,D波,https://shop.example.com/product/91715,2025-09-26,2025-10-24 09:53:08,SPU053-绿色-XXXL
226,2025-09-18,欧时力官方旗舰店,921401,短裤夏季款,673283,SPU054-红色-XXL,888,311,8,10376,277,64,2476,SPU054,红色,SUB971,C波,https://shop.example.com/product/14444,2025-09-18,2025-10-07 19:36:21,SPU054-红色-XXL
227,2025-09-24,ZARA童装官方旗舰店,865079,短裤夏季款,340961,SPU054-红色-XXXL,1356,487,430,35539,309,221,39205,SPU054,红色,SUB833,C波,https://shop.example.com/product/76500,2025-09-24,2025-10-06 09:09:12,SPU054-红色-XXXL
228,2025-09-14,优衣库童装官方旗舰店,236302,短裤夏季款,412619,SPU054-红色-L,1240,496,172,48196,149,131,36276,SPU054,红色,SUB744,A波,https://shop.example.com/product/94839,2025-09-14,2025-10-11 10:02:04,SPU054-红色-L
229,2025-09-29,GXG官方旗舰店,573813,短裤夏季款,756477,SPU054-红色-XXXL,129,43,29,49228,18,1,28927,SPU054,红色,SUB193,C波,https://shop.example.com/product/33467,2025-09-29,2025-10-16 17:02:36,SPU054-红色-XXXL
230,2025-10-03,森马女装官方旗舰店,521164,风衣夏季款,569320,SPU055-黑色-XXL,199,120,61,12844,114,69,12239,SPU055,黑色,SUB126,D波,https://shop.example.com/product/46031,2025-10-03,2025-10-24 20:09:07,SPU055-黑色-XXL
231,2025-09-27,优衣库女装官方旗舰店,166564,风衣夏季款,854354,SPU055-黑色-XS,472,194,126,40005,19,17,32274,SPU055,黑色,SUB493,B波,https://shop.example.com/product/91741,2025-09-27,2025-10-20 09:03:50,SPU055-黑色-XS
232,2025-09-14,欧时力女装官方旗舰店,621379,风衣夏季款,853443,SPU055-黑色-S,865,294,78,8486,223,81,33824,SPU055,黑色,SUB690,B波,https://shop.example.com/product/74737,2025-09-14,2025-10-11 10:33:45,SPU055-黑色-S
233,2025-09-28,GAP童装官方旗舰店,774554,风衣夏季款,657989,SPU055-黑色-M,651,383,348,34366,19,0,26122,SPU055,黑色,SUB758,B波,https://shop.example.com/product/99435,2025-09-28,2025-10-22 16:29:32,SPU055-黑色-M
234,2025-09-17,杰克琼斯官方旗舰店,154391,风衣夏季款,829286,SPU055-黑色-M,275,320,15,43487,121,114,23616,SPU055,黑色,SUB873,D波,https://shop.example.com/product/59930,2025-09-17,2025-10-11 03:40:34,SPU055-黑色-M
235,2025-10-20,美特斯邦威官方旗舰店,818916,运动长裤新款,578816,SPU056-红色-XS,78,372,15,44106,317,63,11004,SPU056,红色,SUB386,B波,https://shop.example.com/product/54909,2025-10-16,2025-10-25 19:36:51,SPU056-红色-XS
236,2025-09-19,秋水伊人官方旗舰店,363408,运动长裤新款,291423,SPU056-红色-XXXL,1072,436,201,30191,191,151,25825,SPU056,红色,SUB300,B波,https://shop.example.com/product/56271,2025-09-19,2025-10-18 21:42:23,SPU056-红色-XXXL
237,2025-10-20,优衣库女装官方旗舰店,408453,运动长裤新款,294708,SPU056-红色-L,505,423,324,8722,417,349,34911,SPU056,红色,SUB857,C波,https://shop.example.com/product/61299,2025-10-14,2025-10-21 23:59:12,SPU056-红色-L
238,2025-09-22,Pull&Bear男装官方旗舰店,304019,针织衫夏季款,672713,SPU057-米色-M,1172,425,52,22294,113,51,10775,SPU057,米色,SUB366,A波,https://shop.example.com/product/99714,2025-09-22,2025-10-10 20:44:26,SPU057-米色-M
239,2025-10-04,Stradivarius官方旗舰店,658933,针织衫夏季款,898488,SPU057-米色-XXXL,691,348,247,11658,167,87,25498,SPU057,米色,SUB271,B波,https://shop.example.com/product/62907,2025-10-04,2025-10-24 16:09:46,SPU057-米色-XXXL
240,2025-10-03,太平鸟官方旗舰店,828338,针织衫夏季款,333067,SPU057-米色-M,703,484,271,39841,301,189,6699,SPU057,米色,SUB328,A波,https://shop.example.com/product/83391,2025-10-03,2025-10-06 21:11:54,SPU057-米色-M
241,2025-10-20,杰克琼斯官方旗舰店,483573,针织衫夏季款,126905,SPU057-米色-XL,1002,363,265,17226,200,98,36613,SPU057,米色,SUB432,A波,https://shop.example.com/product/89938,2025-10-12,2025-10-29 17:39:54,SPU057-米色-XL
242,2025-09-22,GAP男装官方旗舰店,813139,针织衫夏季款,401260,SPU057-米色-XL,422,164,66,14693,124,0,12724,SPU057,米色,SUB413,A波,https://shop.example.com/product/98529,2025-09-22,2025-10-05 00:11:25,SPU057-米色-XL
243,2025-10-01,Massimo Dutti女装官方旗舰店,704991,运动套装热卖款,178129,SPU058-绿色-XXXL,231,457,246,39256,262,247,10801,SPU058,绿色,SUB148,B波,https://shop.example.com/product/78359,2025-10-01,2025-10-29 20:57:36,SPU058-绿色-XXXL
244,2025-09-13,美特斯邦威官方旗舰店,710247,运动套装热卖款,347482,SPU058-绿色-XL,551,426,406,2470,360,44,23869,SPU058,绿色,SUB315,D波,https://shop.example.com/product/50315,2025-09-13,2025-10-01 13:16:39,SPU058-绿色-XL
245,2025-10-20,欧时力官方旗舰店,575714,运动套装热卖款,212745,SPU058-绿色-L,83,45,20,13257,20,3,14194,SPU058,绿色,SUB846,B波,https://shop.example.com/product/57986,2025-10-18,2025-10-28 04:46:47,SPU058-绿色-L
246,2025-10-11,Massimo Dutti女装官方旗舰店,539860,运动套装热卖款,598970,SPU058-绿色-XXL,745,317,268,6381,109,30,27934,SPU058,绿色,SUB558,C波,https://shop.example.com/product/16002,2025-10-11,2025-10-31 01:43:53,SPU058-绿色-XXL
247,2025-10-04,Mango女装官方旗舰店,256957,运动套装热卖款,830989,SPU058-绿色-XS,20,8,1,18578,4,0,2306,SPU058,绿色,SUB894,C波,https://shop.example.com/product/33242,2025-10-04,2025-10-14 08:29:10,SPU058-绿色-XS
248,2025-09-21,优衣库女装官方旗舰店,654919,牛仔裤新款,227940,SPU059-黑色-XL,605,233,134,30991,98,71,3941,SPU059,黑色,SUB719,B波,https://shop.example.com/product/72654,2025-09-21,2025-10-07 22:00:25,SPU059-黑色-XL
249,2025-10-05,杰克琼斯官方旗舰店,236079,牛仔裤新款,346425,SPU059-黑色-S,8,3,2,26358,2,0,8968,SPU059,黑色,SUB438,D波,https://shop.example.com/product/64536,2025-10-05,2025-10-21 03:54:31,SPU059-黑色-S
250,2025-10-11,Pull&Bear男装官方旗舰店,910471,牛仔裤新款,711914,SPU059-黑色-L,64,29,13,49433,10,7,35318,SPU059,黑色,SUB552,C波,https://shop.example.com/product/49144,2025-10-11,2025-10-25 07:56:08,SPU059-黑色-L
251,2025-09-29,Mango官方旗舰店,616645,牛仔裤新款,840401,SPU059-黑色-L,691,441,261,22104,85,85,18324,SPU059,黑色,SUB654,C波,https://shop.example.com/product/87112,2025-09-29,2025-10-25 23:45:38,SPU059-黑色-L
252,2025-10-13,GAP童装官方旗舰店,432741,牛仔裤新款,925866,SPU059-黑色-XXL,628,216,73,11650,93,64,8447,SPU059,黑色,SUB411,A波,https://shop.example.com/product/20876,2025-10-11,2025-10-24 12:52:35,SPU059-黑色-XXL
253,2025-10-13,江南布衣女装官方旗舰店,448436,运动T恤热卖款,126629,SPU060-红色-XL,278,415,3,2582,354,21,10219,SPU060,红色,SUB920,C波,https://shop.example.com/product/58824,2025-10-11,2025-10-22 14:04:30,SPU060-红色-XL
254,2025-09-26,GXG男装官方旗舰店,778785,运动T恤热卖款,343363,SPU060-红色-均码,74,327,121,8593,117,82,7584,SPU060,红色,SUB918,C波,https://shop.example.com/product/51599,2025-09-26,2025-10-26 01:39:47,SPU060-红色-均码
255,2025-09-15,阿迪达斯官方旗舰店,439714,运动T恤热卖款,456442,SPU060-红色-均码,61,35,2,34195,13,3,27897,SPU060,红色,SUB668,B波,https://shop.example.com/product/99390,2025-09-15,2025-10-12 01:10:54,SPU060-红色-均码
256,2025-09-30,韩都衣舍官方旗舰店,398176,运动T恤热卖款,992466,SPU060-红色-S,133,51,33,40429,18,12,25285,SPU060,红色,SUB700,D波,https://shop.example.com/product/28883,2025-09-30,2025-10-06 23:28:21,SPU060-红色-S
257,2025-10-21,江南布衣女装官方旗舰店,570815,休闲裤夏季款,768280,SPU061-白色-S,451,255,149,42149,113,52,9811,SPU061,白色,SUB864,A波,https://shop.example.com/product/27004,2025-10-18,2025-10-25 21:13:41,SPU061-白色-S
258,2025-09-20,H&M童装官方旗舰店,837866,休闲裤夏季款,275855,SPU061-白色-XS,377,187,73,13706,131,17,34460,SPU061,白色,SUB323,B波,https://shop.example.com/product/81219,2025-09-20,2025-10-15 17:25:08,SPU061-白色-XS
259,2025-09-26,H&M童装官方旗舰店,240221,休闲裤夏季款,299673,SPU061-白色-均码,128,413,64,13119,54,38,9385,SPU061,白色,SUB999,A波,https://shop.example.com/product/92170,2025-09-26,2025-10-13 00:58:16,SPU061-白色-均码
260,2025-10-20,ZARA官方旗舰店,495477,套头卫衣热卖款,874159,SPU062-灰色-S,4,156,23,34051,23,7,27221,SPU062,灰色,SUB368,D波,https://shop.example.com/product/30991,2025-10-16,2025-10-27 01:37:04,SPU062-灰色-S
261,2025-09-12,森马男装官方旗舰店,585685,套头卫衣热卖款,461766,SPU062-灰色-XL,12,104,68,10817,91,60,26478,SPU062,灰色,SUB631,A波,https://shop.example.com/product/97183,2025-09-12,2025-10-12 12:15:15,SPU062-灰色-XL
262,2025-10-05,GAP童装官方旗舰店,289441,套头卫衣热卖款,467093,SPU062-灰色-M,491,233,118,21027,45,16,23801,SPU062,灰色,SUB675,C波,https://shop.example.com/product/73417,2025-10-05,2025-10-30 06:09:40,SPU062-灰色-M
263,2025-10-04,Pull&Bear官方旗舰店,698966,运动T恤秋冬款,134281,SPU063-粉色-XL,83,69,18,40541,48,5,33484,SPU063,粉色,SUB936,D波,https://shop.example.com/product/60123,2025-10-04,2025-10-29 23:17:46,SPU063-粉色-XL
264,2025-10-13,森马男装官方旗舰店,352800,运动T恤秋冬款,864995,SPU063-粉色-M,209,460,200,3479,336,281,11904,SPU063,粉色,SUB835,D波,https://shop.example.com/product/25850,2025-10-11,2025-10-15 11:24:58,SPU063-粉色-M
265,2025-10-02,Stradivarius官方旗舰店,166397,运动T恤秋冬款,579374,SPU063-粉色-XXL,703,330,110,12997,240,113,14239,SPU063,粉色,SUB678,B波,https://shop.example.com/product/13836,2025-10-02,2025-10-23 11:00:06,SPU063-粉色-XXL
266,2025-09-24,Stradivarius官方旗舰店,262730,运动T恤秋冬款,704659,SPU063-粉色-XL,489,166,145,40292,46,13,26996,SPU063,粉色,SUB275,A波,https://shop.example.com/product/65980,2025-09-24,2025-10-05 22:28:32,SPU063-粉色-XL
267,2025-09-23,ZARA女装官方旗舰店,995344,运动T恤秋冬款,713602,SPU063-粉色-XXL,154,409,327,19870,167,60,36250,SPU063,粉色,SUB663,B波,https://shop.example.com/product/40992,2025-09-23,2025-10-10 03:54:57,SPU063-粉色-XXL
268,2025-10-20,森马官方旗舰店,785055,童装套装春季款,481359,SPU064-粉色-L,500,459,404,37853,85,69,13316,SPU064,粉色,SUB427,C波,https://shop.example.com/product/44967,2025-10-17,2025-10-28 22:15:56,SPU064-粉色-L
269,2025-09-21,秋水伊人女装官方旗舰店,859993,童装套装春季款,775918,SPU064-粉色-XL,474,213,188,48736,31,31,14343,SPU064,粉色,SUB265,D波,https://shop.example.com/product/47990,2025-09-21,2025-10-12 00:33:23,SPU064-粉色-XL
270,2025-10-02,耐克官方旗舰店,698782,童装套装春季款,448781,SPU064-粉色-XXXL,133,126,110,16639,120,73,32644,SPU064,粉色,SUB725,A波,https://shop.example.com/product/33653,2025-10-02,2025-10-29 12:31:24,SPU064-粉色-XXXL
271,2025-10-06,杰克琼斯男装官方旗舰店,964937,休闲裤秋冬款,989133,SPU065-黄色-M,1192,457,224,176,228,47,37423,SPU065,黄色,SUB278,D波,https://shop.example.com/product/19159,2025-10-06,2025-10-13 23:19:13,SPU065-黄色-M
272,2025-09-26,美特斯邦威官方旗舰店,358462,休闲裤秋冬款,799107,SPU065-黄色-S,230,82,76,30704,7,7,7373,SPU065,黄色,SUB319,D波,https://shop.example.com/product/52844,2025-09-26,2025-10-14 18:39:07,SPU065-黄色-S
273,2025-09-18,江南布衣官方旗舰店,237015,休闲裤秋冬款,256489,SPU065-黄色-XXL,7,70,12,8828,66,46,26026,SPU065,黄色,SUB846,A波,https://shop.example.com/product/81824,2025-09-18,2025-10-18 11:17:30,SPU065-黄色-XXL
274,2025-10-07,优衣库官方旗舰店,146625,速干短裤秋冬款,378199,SPU066-黄色-均码,283,96,62,39752,22,21,30513,SPU066,黄色,SUB631,D波,https://shop.example.com/product/55785,2025-10-07,2025-10-09 23:03:30,SPU066-黄色-均码
275,2025-09-22,ZARA童装官方旗舰店,875926,速干短裤秋冬款,857118,SPU066-黄色-S,762,350,341,33707,107,45,12101,SPU066,黄色,SUB342,D波,https://shop.example.com/product/17979,2025-09-22,2025-10-08 10:57:08,SPU066-黄色-S
276,2025-10-21,GAP童装官方旗舰店,953132,速干短裤秋冬款,905902,SPU066-黄色-XXL,82,408,103,1136,384,142,19798,SPU066,黄色,SUB341,D波,https://shop.example.com/product/94594,2025-10-11,2025-10-30 10:36:19,SPU066-黄色-XXL
277,2025-09-22,Mango女装官方旗舰店,932830,速干短裤秋冬款,701727,SPU066-黄色-均码,41,41,7,30160,36,4,22733,SPU066,黄色,SUB955,B波,https://shop.example.com/product/37531,2025-09-22,2025-10-20 09:48:51,SPU066-黄色-均码
278,2025-10-04,美特斯邦威男装官方旗舰店,198114,速干短裤秋冬款,123950,SPU066-黄色-S,305,446,329,37826,372,85,38461,SPU066,黄色,SUB867,C波,https://shop.example.com/product/97032,2025-10-04,2025-10-23 19:04:57,SPU066-黄色-S
279,2025-10-16,韩都衣舍官方旗舰店,308498,开衫秋冬款,601186,SPU067-绿色-XXL,17,12,10,48163,1,0,3715,SPU067,绿色,SUB726,B波,https://shop.example.com/product/10643,2025-10-13,2025-10-26 03:02:48,SPU067-绿色-XXL
280,2025-10-06,播男装官方旗舰店,186662,开衫秋冬款,320638,SPU067-绿色-L,703,295,255,6090,212,155,7547,SPU067,绿色,SUB248,D波,https://shop.example.com/product/16346,2025-10-06,2025-10-13 14:07:48,SPU067-绿色-L
281,2025-10-10,H&M男装官方旗舰店,259160,开衫秋冬款,221173,SPU067-绿色-M,212,324,80,7738,77,58,26877,SPU067,绿色,SUB577,B波,https://shop.example.com/product/17012,2025-10-10,2025-10-16 20:15:17,SPU067-绿色-M
282,2025-09-24,GAP男装官方旗舰店,882259,开衫秋冬款,806150,SPU067-绿色-S,22,58,7,7386,38,24,26391,SPU067,绿色,SUB207,B波,https://shop.example.com/product/33685,2025-09-24,2025-10-07 22:34:11,SPU067-绿色-S
283,2025-10-06,优衣库女装官方旗舰店,856726,开衫秋冬款,133467,SPU067-绿色-XS,57,21,4,47382,3,2,34678,SPU067,绿色,SUB878,D波,https://shop.example.com/product/42594,2025-10-06,2025-10-16 20:43:46,SPU067-绿色-XS
284,2025-09-08,H&M童装官方旗舰店,865125,休闲衬衫新款,324488,SPU068-米色-L,18,101,37,37478,79,24,28275,SPU068,米色,SUB489,C波,https://shop.example.com/product/37315,2025-09-08,2025-10-05 10:46:34,SPU068-米色-L
285,2025-10-05,ZARA女装官方旗舰店,287524,休闲衬衫新款,577462,SPU068-米色-XXXL,666,274,154,34143,6,0,9806,SPU068,米色,SUB882,C波,https://shop.example.com/product/33086,2025-10-05,2025-10-20 22:18:47,SPU068-米色-XXXL
286,2025-09-22,欧时力官方旗舰店,123812,休闲衬衫新款,928204,SPU068-米色-L,142,51,43,25872,5,5,34394,SPU068,米色,SUB243,C波,https://shop.example.com/product/11145,2025-09-22,2025-10-15 11:53:16,SPU068-米色-L
287,2025-10-04,Mango官方旗舰店,257420,休闲衬衫新款,725290,SPU068-米色-XL,293,295,192,8441,167,4,38758,SPU068,米色,SUB298,C波,https://shop.example.com/product/55871,2025-10-04,2025-10-13 03:24:09,SPU068-米色-XL
288,2025-10-07,Massimo Dutti男装官方旗舰店,929398,休闲衬衫新款,169224,SPU068-米色-XS,2,369,109,46902,194,170,37281,SPU068,米色,SUB710,C波,https://shop.example.com/product/26803,2025-10-07,2025-10-23 02:13:10,SPU068-米色-XS
289,2025-09-11,GXG男装官方旗舰店,620678,休闲衬衫秋冬款,963495,SPU069-米色-XS,34,398,397,6368,355,117,29735,SPU069,米色,SUB221,B波,https://shop.example.com/product/46105,2025-09-11,2025-10-04 17:15:40,SPU069-米色-XS
290,2025-09-25,VERO MODA女装官方旗舰店,476455,休闲衬衫秋冬款,676396,SPU069-米色-XS,167,97,69,24031,54,24,20115,SPU069,米色,SUB880,B波,https://shop.example.com/product/37788,2025-09-25,2025-10-22 10:50:13,SPU069-米色-XS
291,2025-09-17,播官方旗舰店,178589,休闲衬衫秋冬款,878720,SPU069-米色-M,319,433,13,9230,13,7,3526,SPU069,米色,SUB532,A波,https://shop.example.com/product/57424,2025-09-17,2025-10-07 12:09:28,SPU069-米色-M
292,2025-10-18,播男装官方旗舰店,342018,休闲衬衫秋冬款,684610,SPU069-米色-S,506,314,142,3952,82,21,39260,SPU069,米色,SUB734,A波,https://shop.example.com/product/68079,2025-10-11,2025-10-20 22:39:14,SPU069-米色-S
293,2025-10-01,江南布衣女装官方旗舰店,546901,连帽卫衣春季款,719511,SPU070-棕色-M,45,368,211,14955,43,8,8289,SPU070,棕色,SUB980,C波,https://shop.example.com/product/79605,2025-10-01,2025-10-04 20:05:46,SPU070-棕色-M
294,2025-09-22,美特斯邦威官方旗舰店,434952,连帽卫衣春季款,373743,SPU070-棕色-XS,975,332,81,44856,54,40,496,SPU070,棕色,SUB327,C波,https://shop.example.com/product/14244,2025-09-22,2025-10-04 06:56:32,SPU070-棕色-XS
295,2025-09-23,Massimo Dutti官方旗舰店,117679,连帽卫衣春季款,746066,SPU070-棕色-XL,185,127,103,32531,15,14,24154,SPU070,棕色,SUB533,C波,https://shop.example.com/product/91645,2025-09-23,2025-10-11 07:38:36,SPU070-棕色-XL
296,2025-10-01,江南布衣男装官方旗舰店,718788,家居服热卖款,809957,SPU071-粉色-M,99,33,22,24377,23,9,27863,SPU071,粉色,SUB963,B波,https://shop.example.com/product/42256,2025-10-01,2025-10-28 22:57:55,SPU071-粉色-M
297,2025-09-27,Massimo Dutti男装官方旗舰店,211594,家居服热卖款,243507,SPU071-粉色-XXXL,128,128,118,28454,122,0,7245,SPU071,粉色,SUB145,A波,https://shop.example.com/product/25533,2025-09-27,2025-10-20 07:24:53,SPU071-粉色-XXXL
298,2025-10-03,欧时力女装官方旗舰店,228594,家居服热卖款,140611,SPU071-粉色-L,424,408,13,48279,401,211,36296,SPU071,粉色,SUB335,A波,https://shop.example.com/product/68894,2025-10-03,2025-10-12 19:14:21,SPU071-粉色-L
299,2025-09-21,GAP女装官方旗舰店,194351,家居服热卖款,612737,SPU071-粉色-均码,165,204,108,33834,70,5,35676,SPU071,粉色,SUB113,A波,https://shop.example.com/product/97843,2025-09-21,2025-10-17 10:15:04,SPU071-粉色-均码
300,2025-10-09,COS官方旗舰店,255327,家居服热卖款,721540,SPU071-粉色-XXXL,31,187,184,7089,114,43,3984,SPU071,粉色,SUB574,A波,https://shop.example.com/product/35622,2025-10-09,2025-10-14 21:38:48,SPU071-粉色-XXXL
301,2025-10-16,太平鸟童装官方旗舰店,574966,休闲裤新款,206604,SPU072-灰色-XXL,252,260,27,30274,21,7,21767,SPU072,灰色,SUB181,A波,https://shop.example.com/product/47712,2025-10-12,2025-10-19 04:48:55,SPU072-灰色-XXL
